"Attribute";"Weight"
"PRSegmentComposition_IUPredS_1_11-15";1.0
"PRSegmentComposition_IUPredS_1_>15";0.0
"PRSegmentComposition_Complexity_0_1-5";0.0
"PRSegmentComposition_Complexity_0_6-10";1.0
"PRSegmentComposition_Complexity_0_11-15";0.0
"PRSegmentComposition_Complexity_0_>15";0.0
"PRSegmentComposition_Complexity_1_1-5";1.0
"PRSegmentComposition_Complexity_1_6-10";1.0
"PRSegmentComposition_Complexity_1_11-15";1.0
"PRSegmentComposition_Complexity_1_>15";1.0
"PRLongestSegment_IUPredL_0";0.0
"PRLongestSegment_IUPredL_1";1.0
"PRLongestSegment_IUPredS_0";0.0
"PRLongestSegment_IUPredS_1";0.0
"PRLongestSegment_Complexity0";0.0
"PRLongestSegment_Complexity1";1.0
"PRSegmentCount_IUPredL_0_1-5";0.0
"PRSegmentCount_IUPredL_0_6-10";0.0
"PRSegmentCount_IUPredL_0_11-15";1.0
"PRSegmentCount_IUPredL_0_>15";1.0
"PRSegmentCount_IUPredL_1_1-5";0.0
"PRSegmentCount_IUPredL_1_6-10";1.0
"PRSegmentCount_IUPredL_1_11-15";0.0
"PRSegmentCount_IUPredL_1_>15";0.0
"PRSegmentCount_IUPredS_0_1-5";0.0
"PRSegmentCount_IUPredS_0_6-10";0.0
"PRSegmentCount_IUPredS_0_11-15";1.0
"PRSegmentCount_IUPredS_0_>15";1.0
"PRSegmentCount_IUPredS_1_1-5";1.0
"PRSegmentCount_IUPredS_1_6-10";1.0
"PRSegmentCount_IUPredS_1_11-15";1.0
"PRSegmentCount_IUPredS_1_>15";1.0
"PRSegmentCount_Complexity_0_1-5";0.0
"PRSegmentCount_Complexity_0_6-10";1.0
"PRSegmentCount_Complexity_0_11-15";1.0
"PRSegmentCount_Complexity_0_>15";0.0
"PRSegmentCount_Complexity_1_1-5";1.0
"PRSegmentCount_Complexity_1_6-10";0.0
"PRSegmentCount_Complexity_1_11-15";0.0
"PRSegmentCount_Complexity_1_>15";0.0
